user_id,order_id,date,category,product_id,product_name,quantity,price,cost_price
U0164,ORD0115,2023-01-26,Fitness,P0030,Treadmill,1,648.25,452.22
U0190,ORD0282,2023-09-08,Grocery,P0010,Almonds 500g,1,977.5,671.9
U0058,ORD0143,2023-04-15,Electronics,P0003,Bluetooth Speaker,3,2404.17,1555.01
U0174,ORD0759,2024-07-12,Grocery,P0010,Almonds 500g,1,977.5,671.9
U0023,ORD0605,2024-03-08,Grocery,P0006,Basmati Rice 5kg,2,237.05,211.21
U0009,ORD0031,2023-04-06,Clothing,P0019,Jacket,1,1122.46,706.37
U0056,ORD0239,2024-06-01,Home & Kitchen,P0022,Water Bottle,1,654.75,571.46
U0155,ORD0028,2024-07-28,Clothing,P0017,Jeans,1,475.64,420.78
U0051,ORD0734,2024-10-27,Grocery,P0006,Basmati Rice 5kg,2,237.05,211.21
U0180,ORD0559,2024-03-05,Electronics,P0001,Smartphone,1,4370.86,3869.15
U0057,ORD0460,2024-08-26,Home & Kitchen,P0022,Water Bottle,1,654.75,571.46
U0072,ORD0829,2023-01-07,Clothing,P0019,Jacket,1,1122.46,706.37
U0195,ORD0826,2023-06-13,Home & Kitchen,P0021,Mixer Grinder,1,1049.17,785.36
U0179,ORD0433,2023-12-15,Home & Kitchen,P0022,Water Bottle,2,654.75,571.46
U0072,ORD0160,2023-08-09,Fitness,P0027,Dumbbells,1,7534.14,6543.01
U0196,ORD0345,2023-04-15,Home & Kitchen,P0022,Water Bottle,2,654.75,571.46
U0024,ORD0390,2023-04-10,Fitness,P0028,Resistance Bands,1,4903.83,4298.51
U0092,ORD0868,2023-12-19,Electronics,P0003,Bluetooth Speaker,1,2404.17,1555.01
U0155,ORD0271,2023-02-14,Home & Kitchen,P0025,Bedsheet Set,1,2960.2,1940.28
U0187,ORD0471,2024-07-03,Grocery,P0007,Olive Oil 1L,1,1698.4,1127.23
U0032,ORD0997,2024-01-23,Clothing,P0020,Dress,3,2147.43,1572.02
U0021,ORD0566,2023-10-28,Clothing,P0017,Jeans,3,475.64,420.78
U0161,ORD0634,2024-01-06,Beauty,P0012,Shampoo,1,362.93,257.65
U0148,ORD0197,2024-12-22,Home & Kitchen,P0025,Bedsheet Set,2,2960.2,1940.28
U0018,ORD0047,2024-11-08,Home & Kitchen,P0025,Bedsheet Set,1,2960.2,1940.28
U0059,ORD0792,2023-10-24,Home & Kitchen,P0025,Bedsheet Set,1,2960.2,1940.28
U0021,ORD0876,2023-08-27,Fitness,P0030,Treadmill,1,648.25,452.22
U0026,ORD0390,2023-10-12,Electronics,P0001,Smartphone,3,4370.86,3869.15
U0117,ORD0651,2024-01-09,Beauty,P0014,Moisturizer,1,279.71,210.98
U0042,ORD0380,2023-12-30,Electronics,P0001,Smartphone,2,4370.86,3869.15
U0054,ORD0687,2023-10-01,Fitness,P0027,Dumbbells,1,7534.14,6543.01
U0180,ORD0960,2024-11-30,Grocery,P0009,Green Tea,1,747.64,566.28
U0166,ORD0074,2024-09-15,Electronics,P0003,Bluetooth Speaker,2,2404.17,1555.01
U0163,ORD0176,2024-06-30,Clothing,P0020,Dress,1,2147.43,1572.02
U0187,ORD0251,2023-06-17,Electronics,P0005,Power Bank,1,6410.04,5207.66
U0119,ORD0389,2023-10-04,Electronics,P0003,Bluetooth Speaker,1,2404.17,1555.01
U0164,ORD0705,2024-07-24,Clothing,P0018,Sneakers,1,2907.21,2449.38
U0057,ORD0702,2023-11-29,Fitness,P0028,Resistance Bands,2,4903.83,4298.51
U0197,ORD0795,2023-02-27,Fitness,P0028,Resistance Bands,1,4903.83,4298.51
U0059,ORD0842,2023-02-02,Electronics,P0001,Smartphone,1,4370.86,3869.15
U0081,ORD0411,2023-10-02,Beauty,P0013,Lip Balm,1,510.46,426.52
U0017,ORD0217,2024-08-03,Grocery,P0006,Basmati Rice 5kg,1,237.05,211.21
U0184,ORD0323,2023-08-06,Home & Kitchen,P0024,Wall Clock,1,1902.7,1438.48
U0168,ORD0512,2024-02-10,Electronics,P0001,Smartphone,1,4370.86,3869.15
U0165,ORD0470,2023-05-27,Fitness,P0030,Treadmill,3,648.25,452.22
