ds,yhat,yhat_lower,yhat_upper
2023-01-01,131557.9262540517,-1401.285902859028,270745.1083405087
2023-01-02,106247.63828658608,-26466.746120194988,250896.326744935
2023-01-03,112642.72261523796,-31997.79905302527,244147.80397265352
2023-01-04,121007.2014308028,-7593.133781531449,262632.3724747381
2023-01-05,97908.6948301495,-32330.464510882943,241831.2605673053
2023-01-06,91057.10233557252,-48097.69852276404,227008.06146978957
2023-01-07,101970.7960247623,-41933.6321718803,234344.98672565215
2023-01-08,131232.56868011662,-16845.207366327606,266686.2131122785
2023-01-09,105922.28071263836,-38789.27377508288,246293.23718105513
2023-01-10,112317.36504124667,-23061.41544265073,243101.0856088261
2023-01-11,120681.84385692455,-13989.858444582635,269975.1973053554
2023-01-12,97583.33725613315,-37550.927550406595,237695.83158657403
2023-01-13,90731.74476161132,-52025.19600646689,219857.37866283517
2023-01-14,101645.43845084496,-23667.635761001256,239354.66341610343
2023-01-15,130907.21110616603,-10958.327803890686,268937.6425295832
2023-01-16,105596.92313871605,-34732.470320990324,243132.760046313
2023-01-17,111992.00746734651,-32363.76377434207,252229.93600598854
2023-01-18,120356.48628298925,-19348.12349628649,244277.92446747317
2023-01-19,97257.9796843878,-47860.429435200036,239229.25071916785
2023-01-20,90406.3871920532,-56986.94406106673,227170.06616953798
2023-01-21,101320.08088348096,-41825.63072937473,245109.86523341393
2023-01-22,130581.8535409691,-12358.172913675278,266380.591650743
2023-01-23,105271.56557574432,-38241.07497121097,242053.35419144726
2023-01-24,111666.64990657686,-23487.988001590653,258877.41697298913
2023-01-25,120031.12872432466,-12728.635638022246,262884.0330478084
2023-01-26,96932.62212573165,-45213.403863068386,226390.63895438146
2023-01-27,90081.02963339037,-48060.41519728778,230642.2537642877
2023-01-28,100994.72332475737,-43595.18447403379,236169.8416105033
2023-01-29,130256.49598233742,-9296.669693057054,278633.2898075819
2023-01-30,104946.2080170816,-40742.75293689455,251814.07536992844
2023-01-31,111341.29234795006,-24382.10856795183,252508.21811868172
2023-02-01,119705.77116571709,-19611.19214776038,254046.63770190577
2023-02-02,96607.26456707549,-38654.968440544166,231071.43076120692
2023-02-03,89755.67207480055,-38385.73362870693,239223.94724782443
2023-02-04,100669.36576614704,-32879.76611420414,242749.50705361515
2023-02-05,129931.05675373416,-15664.877438943073,273316.090347497
2023-02-06,104620.6871184786,-34757.889709106756,252301.32235904198
2023-02-07,111015.68977935622,-25220.2914519874,248815.83191549848
2023-02-08,119380.08692710414,-27771.01225162029,253172.45835616984
2023-02-09,96281.4986584839,-40144.965529291185,232037.57668771184
2023-02-10,89429.82449623573,-47375.028407098594,226636.01021677986
2023-02-11,100343.43651763898,-38071.401863387444,239382.15733228423
2023-02-12,129605.12750520607,-21728.964465757253,258038.08998216526
2023-02-13,104294.75786994016,-41816.99721572821,240747.73790315518
2023-02-14,110689.76053072864,-28044.511291948136,247294.24850080378
2023-02-15,119054.15767862635,-12727.35662900257,254707.31976457668
2023-02-16,95955.56940995943,-44992.022524148844,239062.98681144504
